lpl,LPL
sn,SN
sn,SN
苏宁,SN
view,View
sofm,Sofm
angel,Angel
huanfeng,Huanfeng
huanfeng,Huanfeng
huanfeng,Huanfeng
bin,Bin
bin,Bin
阿彬,Bin
陈泽彬,Bin
omg,OMG
kane,Kane
kane,Kane
bafang,Bafang
eric,Eric
eric,Eric
wuming,Wuming
able,Able
aki,Aki
cold,Cold
new,New
creme,Creme
ez,Ez
supermassive,Supermassive
supermassive,Supermassive
damwon,Damwon
rg,RG
lec,LEC
rge,RGE
rogue,Rogue
rogue,Rogue
rogue,Rogue
fredy,Fredy
odoamne,Odoamne
hanssama,Hanssama
hans,Hans
sama,Sama
larssen,Larssen
inspired,Inspired
trymbi,Trymbi
blueknight,Blueknight
mad,Mad
mad,Mad
madlions,Madlions
madlions,Madlions
greentea,Greentea
humanoid,Humanoid
armut,Armut
carzzy,Carzzy
kaiser,Kaiser
elyoya,Elyoya
fnc,FNC
fnatic,Fnatic
yamato,Yamato
hylissang,Hylissang
bwipo,Bwipo
nisqy,Nisqy
upset,Upset
adam,Adam
lck,LCK
dk,DK
dwgkia,DWGKia
domwon,Domwon
domwon,Domwon
dwg,DWG
canyon,Canyon
canyon,Canyon
peanut,Peanut
counter,Counter
showmaker,Showmaker
beryl,Beryl
kanavi,Kanavi
kkoma,Kkoma
kkoma,Kkoma
khan,Khan
khan,Khan
ghost,Ghost
malrang,Malrang
chasy,Chasy
jool,Jool
cow,Cow
gen,Gen
geng,Geng
geng,Geng
generation,Generation
elmapuddy,Elmapuddy
flawless,Flawless
bdd,Bdd
ruler,Ruler
clid,Clid
rascal,Rascal
life,Life
lonely,Lonely
youngjae,Youngjae
karis,Karis
ophelia,Ophelia
dice,Dice
burdol,Burdol
envyy,Envyy
kael,Kael
t1,TOne
t1,TOne
t1,TOne
t2,TTwo
t2,TTwo
t3,TThree
t3,TThree
stardust,Stardust
faker,Faker
roach,Roach
teddy,Teddy
holt,Holt
cuzz,Cuzz
asper,Asper
ellim,Ellim
gumayusi,Gumayusi
keria,Keria
canna,Canna
clozer,Clozer
mireu,Mireu
zeus,Zeus
oner,Oner
mowgli,Mowgli
berserker,Berserker
hle,HLE
hanwha,Hanwha
韩华,Hanwha
孙大永,Kezman
deft,Deft
chovy,Chovy
vsta,Vsta
morgan,Morgan
yohan,Yohan
arthur,Arthur
dudu,Dudu
cad,Cad
riss,Riss
mask,Mask
cheoni,Cheoni
baut,Baut
willer,Willer
lcs,LCS
100t,100T
100t,100T
thieves,Thieves
大盗,100T
一百大盗,100T
百盗,100T
reapered,Reapered
huhi,Huhi
ssumday,Ssumday
fbi,Fbi
abbedagge,Abbedagge
ry0ma,Ry0ma
ry0ma,Ry0ma
closer,Closer
luger,Luger
poome,Poome
tenacity,Tenacity
kenvi,Kenvi
tl,TL
liquid,Liquid
cain,Cain
jensen,Jensen
armao,Armao
santorin,Santorin
santorin,Santorin
corejj,Coreji
alphari,Alphari
jenkins,Jenkins
tactical,Tactical
c9,Cloudnine
c9,Cloudnine
cloud9,Cloudnine
cloud9,Cloudnine
cloud9,Cloudnine
reignover,Reignover
perkz,Perkz
阿p,Perkz
阿p,Perkz
zven,Zven
k1ng,King
vulcan,Vulcan
blaber,Blaber
fudge,Fudge
pcs,PCS
byg,BYG
beyond,BYG
benny,Benny
liang,Liang
kino,Kino
husha,Husha
maoan,Maoan
husky,Husky
doggo,Doggo
tns,TNS
psg,PSG
psgtalon,PSGTalon
helper,Helper
maple,Maple
kaiwing,Kaiwing
unified,Unified
hanabi,Hanabi
river,River
kartis,Kartis
lla,LLA
inf,Infinity
infinity,Infinity
von,Von
whitelotus,Whitelotus
solidsnake,Solidsnake
buggax,Buggax
cody,Cody
kz,KZ
ackerman,Ackerman
brayaron,Arayaron
lco,LCO
pce,PCE
pce,PCE
daniel,Daniel
aladoric,Aladoric
tally,Tally
apii,Apii
babip,Babip
leesa,Leesa
violet,Violet
halp,Halp
tcl,TCL
gs,GS
galatasaray,Galatasaray
irean,Irean
crazy,Crazy
padden,Padden
mojito,Mojito
zergsting,Zergsting
alive,Alive
bolulu,Bolulu
luana,Luana
lcl,LCL
uol,UOL
unicorns of love,UOL
fabian,Fabian
mallant,Mallant
sheepy,Sheepy
santas,Santas
boss,Boss
lodik,Lodik
ahahacik,Ahahacik
nomanz,Nomanz
argonavt,Argonavt
frappii,Frappii
cblol,Cblol
red,Red
red,Red
redcanids,RedCanids
coelho,Coelho
titan,Titan
jojo,Jojo
guigo,Guigo
aegis,Aegis
avenger,Avenger
grevthar,Grevthar
ljl,LJL
dfm,DFM
detonationfocusme,DetonationFocusme
yang,Yang
steal,Steal
ceros,Ceros
yutapon,Yutapon
evi,Evi
kazu,Kazu
gaeng,Gaeng
gismo,Gismo
aria,Aria
ig,IG
kakao,Kakao
kakao,Kakao
kakao,Kakao
lgc,LGC
poe,POE
dragonx,Dragonx
dragonx,Dragonx
dragon,Dragonx
drx,DRX
sup,SUP
skt,SKT
skt,SKT
vn,VN
ban,ban
kda,KDA
pentakill,Pentakill
doublekill,Doublekill
triplekill,Triplekill
quadrakill,Quadrakill
firstblood,Firstblood
enemy,Enemy
killingspree,Killingspree
rampage,Rampage
unstoppable,unstoppable
dominating,Dominating
godlike,Godlike
legendary,Lenendary
adc,ADC
ad,AD
ad,AD
tp,TP
pk,PK
pk,PK
cd,CD
cd,CD
buff,Buff
aoe,AOE
dps,DPS
gank,Gank
poke,Poke
solo,Solo
carry,Carry
carry,Carry
pick,Pick
bp,BP
bo1,BO1
bo1,BO1
bo1,BO1
bo3,BO3
bo3,BO3
bo3,BO3
bo5,BO5
bo5,BO5
bo5,BO5
ap,AP
ap,AP
mvp,MVP
pin,PIN
combo,Combo
常规赛,regular season
季后赛,playoff
力挽狂澜,try one's best to save the situation
前期,
后期,
中期,
大核,
上野,top laner and jungler
中野,mid laner and jungler
阵容,team
资源,
劣势,
基地,base
野核,jungler
退守,
残血,
减伤,
二塔,turret
一塔,turret
散件,
外塔,turret
门牙,turret
扎实,
水晶,nexus
炮车,siege
上单,top laner
下路,bot laner
神分,Divine Sunderer
魔切,Muramana
中娅,Zhonya's Hourglass
赛瑞尔,Serylda's Grudge
赛瑞尔达,Serylda's Grudge
比翼双刃,Flawless Duet
渴血战斧,Goredrinker
小龙,drake
大龙,Baron Nashor
鳄鱼,Renekton
炸弹人,Ziggs
佛耶戈,Viego
金克斯,Jinx
复活甲,Guardian Angel
冒泡赛,
大校,
峡谷先锋,The Rift Herald
召唤师峡谷,Summoner's Rift
销户,
小明,Ming
果子哥,Cryin
维鲁斯,Varus
冰女,Lissandra
万花通灵,Neeko
不屈之枪,Pantheon
不灭狂雷,Volibear
不祥之刃,Katarina
不详,Katarina
中单,mid laner
蒙多,Dr.Mundo
曙光,Leona
船长,Gangplank
狗熊,Volibear
风龙魂,
龙魂,
远古巨龙,Dragon Elder
镀层,
皎月,Diana
魔沼蛙,
深渊潜航,Abyssal Dive
寒冰,Ashe
丽桑卓,Lissandra
乌迪尔,Udyr
乐芙兰,Leblanc
九尾妖狐,Ahri
五神装,
亚托克斯,Aatrox
亚索,Yasuo
亡灵战神,Sion
仙灵女巫,Lulu
伊泽瑞尔,Ezreal
伊芙琳,Evelynn
伊莉丝,Elise
众星之子,Soraka
佐伊,Zoe
洛,Rakan
俄洛伊,Illaoi
假眼,
傲之追猎者,Rengar
僵持,
元素女皇,Qiyana
光辉女郎,Lux
克格莫,Logmaw
克烈,Kled
兰博,Rumble
兵线,
兽灵行者,Udyr
内瑟斯,Nasus
冰晶凤凰,Anivia
冰霜女巫,Lissandra
冰鸟,Anivia
凯南,Kennen
凯尔,Kayle
凯特琳,Caitlyn
凯隐,Kayn
刀妹,Irelia
刀锋之影,Talon
刀锋舞者,Irelia
加里奥,Galio
努努,Nunu
努努和威朗普,Nunu
劫,Zed
北地之怒,Sejuani
卡兹克,Khazix
卡尔玛,Karma
卡尔萨斯,Karthus
卡牌大师,Twistedfate
卡特,Katarina
卡特琳娜,Katarina
卡莉丝塔,Kalista
卡莎,Kaisa
卡萨丁,Kassadin
卡蜜尔,Camille
卡西奥佩娅,Cassiopeia
卢锡安,Lucia
厄加特,Urgot
厄斐琉斯,Aphelios
厄运小姐,Miss Fortune
发条魔灵,Orianna
古拉加斯,Gragas
召唤师技能,summoner spells
吉格斯,Ziggs
含羞蓓蕾,Lillia
唤潮鲛姬,Nami
嗑药,
嘉文四世,JarvanIV
图奇,Twitch
圣枪游侠,Lucia
圣锤之毅,Poppy
基兰,
堕落天使,Morgana
塔姆,Tahm
塔莉垭,Taliyah
塔里克,Taric
塞拉斯,Sylas
墨菲特,Malphite
复仇之矛,Kalista
复仇焰魂,Brand
大发明家,Heimerdinger
天启者,Karma
天赋,
奇亚娜,Qiyana
奈德丽,Nidalee
奎因,Quinn
奥恩,Ornn
奥拉夫,Olaf
奥瑞利安索尔,Aurelionsol
奥莉安娜,Orianna
女警,Caitlyn
奶妈,Soraka
妮蔻,Neeko
娜美,Nami
婕拉,Zyra
孙悟空,Wukong
安妮,Annie
宝石,Taric
寒冰射手,Ashe
寡妇,Evelynn
对线,play
封魔剑魂,Yone
小法,Veigar
屡次,
山隐之焰,Ornn
岩雀,Taliyah
崔丝塔娜,Tristana
崔斯特,Twistedfate
巨魔,Trundle
巴德,Bard
布兰德,Brand
布里茨,Blitzcrank
布隆,Braum
希瓦娜,Shyvana
希维尔,Sivir
幻翎,Rakan
库奇,Corki
弗拉基米尔,Vladimir
弗雷尔卓德之心,Braum
影流之主,Zed
影流之镰,Kayn
德玛西亚之力,Garen
德玛西亚之翼,Quinn
德玛西亚皇子,JarvanIV
德莱厄斯,Darius
德莱文,Draven
德邦总管,Xin Zhao
恶魔小丑,Shaco
悠米,Yuumi
惩戒之箭,Varus
意识,sense
戏命师,Jhin
战争之影,Hecarim
战争女神,Sivir
扎克,Zac
打野,
扭曲树精,Maokai
技能,skill
护甲,armor
披甲龙龟,Rammus
拉克丝,Lux
拉莫斯,Rammus
探险家,Ezreal
控线,control the line
推线,push the line
提莫,Teemo
放逐之刃,Riven
斯卡纳,Skarner
斯维因,Swain
无双剑姬,Fiora
无极剑圣,Yi
无畏战车,Urgot
时光守护者,Zilean
时间刺客,Ekko
星界游神,Bard
星籁歌姬,Seraphine
普朗克,Gangplank
智慧末刃,Wits End
暗夜猎手,Vayne
暗裔剑魔,Aatrox
暗黑元首,Syndra
暮光之眼,Shen
暮光星灵,Zoe
暴怒骑士,Kled
暴走萝莉,Jinx
曙光女神,Leona
未来守护者,Jayce
机器人,Blitzcrank
机械先驱,Viktor
机械公敌,Rumble
李青,Leesin
来守,
杰斯,Jayce
格温,Gwen
格雷福斯,Graves
正义天使,Kayle
正义巨像,Galio
武器大师,Jax
死亡颂唱者,Karthus
殇之木乃伊,Amumu
残月之肃,Aphelios
水晶先锋,Skarner
永恒梦魇,Nocturne
永恩,Yone
永猎双子,Kindred
沃利贝尔,Volibear
沃里克,Warwick
沉默,silence
沙漠死神,Nasus
沙漠玫瑰,Samira
沙漠皇帝,Azir
河流之王,Tahm
法外狂徒,Graves
波比,Poppy
泰达米尔,Tryndamere
泰隆,Talon
泽拉斯,Xerath
派克,Pyke
海兽祭司,Illaoi
海洋之灾,Gangplank
涤魂圣枪,Senna
深海泰坦,Nautilus
深渊巨口,Kogmaw
清兵,clear the line
潘森,Pantheon
潮汐海灵,Fizz
灵罗娃娃,Gwen
炼金术士,Singed
熔岩巨兽,Malphite
爆破鬼才,Ziggs
牛头,Alistar
牛头酋长,Alistar
牧魂人,Yorick
物理攻击,physical attack
特朗德尔,Trundle
狂战士,Olaf
狂暴之心,Kennen
狂野女猎手,Nidalee
狗头,Nasus
狮子狗,Rengar
猩红收割者,Vladimir
玛尔扎哈,Malzahar
琴女,Sona
琴瑟仙女,Sona
瑞兹,Ryze
瑟庄妮,Sejuani
瑟提,Sett
璐璐,Lulu
瓦洛兰之盾,Taric
生化魔人,Zac
疾风剑豪,Yasuo
痛苦之拥,Evelynn
瘟疫之源,Twitch
皎月女神,Diana
皮城女警,Caitlyn
皮城执法官,Vi
盖伦,Garen
盲僧,Leesin
真眼,
眩晕,Dizzy
矩阵,
破败王,Power of the Ruined King
祖安怒兽,Warwick
祖安狂人,Mundo
禁锢,
离群之刺,Akali
科加斯,Chogath
符文,
符文法师,Ryze
索拉卡,Soraka
约里克,Yorick
纳尔,Gnar
维克兹,Velkoz
维克托,Viktor
维迦,Veigar
翠神,Ivern
腐败锁链,chain of corruption
腕豪,Sett
腰子,Shen
艾克,Ekko
艾尼维亚,Anivia
艾希,Ashe
艾瑞莉娅,Irelia
艾翁,Ivern
芮尔,Rell
英勇投弹手,Corki
茂凯,Maokai
荆棘之兴,Zyra
草丛,
荒漠屠夫,Renekton
荣耀行刑官,Draven
莉莉娅,Lillia
莎弥拉,Samira
莫德凯撒,Mordekaiser
莫甘娜,Morgana
菲兹,Fizz
菲奥娜,Fiora
萨勒芬妮,Seraphine
萨科,Shaco
蒙多医生,Mundo
蒸汽机器人,Blitzcrank
蕾欧娜,Leona
薇恩,Vayne
虚空之女,Kaisa
虚空之眼,Velkoz
虚空先知,Malzahar
虚空恐惧,Chogath
虚空掠夺者,Khazix
虚空行者,Kassadin
虚空遁地兽,Reksai
蛮子哥,Tryndamere
蛮族之王,Tryndamere
蜘蛛女皇,Elise
血港鬼影,Pyke
补刀,
解脱者,Sylas
妖姬,Leblanc
诺克萨斯之手,Darius
诺克萨斯统领,Swain
诺提勒斯,Nautilus
豹女,Nidalee
费德提克,Fiddlesticks
贾克斯,Jax
赏金猎人,Miss Fortune
赛娜,Senna
赛恩,Sion
赫卡里姆,Hecarim
赵信,Xin Zhao
超级兵,super minion
辅助,support
输出,dynamite
辛吉德,Singed
辛德拉,Syndra
迅捷斥候,Teemo
远古巫灵,Xerath
远古恐惧,Fiddlesticks
迦娜,Janna
迷失之牙,Gnar
逆羽,Xayah
邪恶小法师,Veigar
酒桶,Gragas
金克丝,Jinx
铁铠冥魂,Mordekaiser
铸星龙王,Aurelion
锐雯,Riven
锤石,Thresh
镕铁少女,Rell
闪现,flash
阿兹尔,Azir
阿利斯塔,Alistar
阿卡丽,Akali
阿木木,Amumu
阿狸,Ahri
雪人,Nunu
雪原双子,Nunu
雷克塞,Reksai
雷克顿,Renekton
雷恩加尔,Rengar
青钢影,Camille
韦鲁斯,Varus
风暴之怒,Janna
风男,Yasuo
香克斯,Shanks
魂锁典狱长,Thresh
魔抗,Spell Resistance
魔法攻击,Spell damage
魔法猫咪,Yuumi
魔腾,Nocturne
魔蛇之拥,Cassiopeia
麦林炮手,Annie
黑暗之女,Tristana
黑默丁格,Heimerdinger
黛安娜,Diana
齐天大圣,Wukong
龙血武姬,Shyvana
腐败药剂,Corrupting Potion
魔影迷踪,Distortion
板甲,Dead Man's Plate
黑暗封印,Dark Seal
资源战,
永霜冻,
厄锤,
鳄豹,
霞,Xayah
夏季赛,
田野,
凤一其随,
老牛,
线权,
山脉龙,
土龙,
火龙,
水龙,
无畏冲锋,
地狱火炮,
天音波,
蓝晶球,
斩杀线,
定点爆破,
木已成舟,
回旋踢,
英雄登场,
叹为观止,
爆破,
杜朗护盾,
神圣分离者,
渴血,
大劣,
茫茫疆土,
b回家,
双c,
防gank,
血手,
痛贯天灵,
shutdown,
shutdown,
team,
暴走,
抢龙,
四杀,
背水一战,
真实伤害,
走位,
op,
前仆后继,
职业,
麻辣香锅,
ok,
宁王,
ko,
msi,
caps,
huni,
noc,
qq,
theshy,
theshy,
opl,
vcs,
nest,
s10,
s10,
s11,
s11,
全明星,
jdg,
v5,
v5,
rw,
tt,
kt,
af,
ns,
xl,
clg,
fly,
fly,
eg,
gg,
dig,
sk,
s04,
s04,
mf,
vit,
sky,
dread,
keine,
lsb,
rookie,
southwind,
snow,
puff,
lucas,
baolan,
wink,
photic,
xinmo,
x1lan,
x1lan,
meteor,
gori,
insulator,
h4cker,
h4cker,
h4cker,
rat,
shiauc,
zs,
irma,
mystic,
yagao,
yagao,
zoom,
loken,
lvmao,
uniboy,
cult,
flora,
hoyoung,
bright,
xiaobai,
lele,
xlb,
betty,
xifeng,
reheal,
ziv,
qiuqiu,
haro,
forge,
kelin,
jinjiao,
twila,
xiaopeng,
vv,
teeen,
captain,
chelizi,
bless,
samd,
y4,
y4,
aliez,
trigger,
langx,
langx,
yimeng,
kiin,
bang,
lehends,
chieftain,
hoya,
delight,
hena,
umti,
destroy,
becca,
kingen,
pyosik,
solka,
bao,
heart,
doran,
blank,
ucal,
ucal,
wunder,
rekkles,
mikyx,
jeasen,
swordart,
swordart,
aodi,
add,
beichuan,
jwei,
kaixuan,
alielie,
leo,
summit,
route,
onfleek,
fate,
prince,
effort,
kellin,
rich,
juhan,
deokdam,
lava,
yaharong,
p1noy,
dan,
tore,
patrik,
czekolad,
kryze,
trymabi,
crazzy,
damonte,
wildturtle,
pobelter,
broxah,
griffin,
finn,
rjs,
smoothie,
dreams,
palafox,
licorice,
diamond,
johnsun,
josedeodo,
spica,
lost,
powerofevil,
impact,
jiizuke,
deftly,
svenskeren,
ignar,
stixxay,
newbie,
ablazeolive,
niles,
iconic,
aphromoo,
dardoch,
soligo,
fakegod,
neo,
treatz,
tynx,
jenax,
blue,
jezu,
canee,
gilius,
broken,
blade,
neon,
limit,
crownshot,
szygenda,
skeanz,
milica,
comp,
labrov,
ning,
score,
塔补,
mata,
mata,
smeb,
英雄联盟,
intz,
itz,
og,
png,
lv,
msc,
dot,
nba,
ob,
uzi,
selfmade,
selfmade,
元素,
岩石,
马尔扎哈,
贡子哥,
jankos,
micao,
aloned,
shini,
jose,
bugi,
raina,
gadget,
rainbow,
seven,
rank,
combo,
liquid,
redbert,
topoon,
raes,
lsles,
死亡之组,
a组,
b组,
c组,
d组,
加拉塔萨雷,
决赛,
半决赛,
余霜,
刘航,
小钰,
希然,
骆歆,
米勒,
记得,
泽元,
管泽元,
娃娃,
wawa,
cat,
瞳夕,
王多多,
长毛,
九五七,
鼓鼓,
柯基,
赵志铭,
小伞,
雨童,
平野绫,
平队,
俊日,
rita,
mact,
全巴班,
薇古丝,
黎明使者,
黑夜使者,
皮肤,
冰岛,
小狗,
云玩家,
水晶哥,
姿态,
letme,
letme,
世一嘴,
笑虎队,
米指导,
费内巴切,
马老师,
虎牙,
联盟键盘侠,
vg,
es,
sdg,
leg,
ym,
cmg,
hmg,
dyu,
lya,
up,
tt,
sdx,
al,
al,
wz,
eqx,
whg,
bli,
